76 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 
55 29 52 59 26 33 56 63 30 37 60 67 34 41 64 71 38 45 68 75 42 49 72 3 46 53 1 7 50 57 4 11 54 61 8 15 58 65 12 19 62 69 16 23 66 73 20 27 70 76 24 31 74 5 28 35 2 9 32 39 6 13 36 43 10 17 40 47 14 21 44 51 18 25 48 22 
56 22 59 60 25 26 63 64 29 30 67 68 33 34 71 72 37 38 75 1 41 42 3 4 45 46 7 8 49 50 11 12 53 54 15 16 57 58 19 20 61 62 23 24 65 66 27 28 69 70 31 32 73 74 35 36 76 2 39 40 5 6 43 44 9 10 47 48 13 14 51 52 17 18 55 21 
57 27 54 61 24 31 58 65 28 35 62 69 32 39 66 73 36 43 70 76 40 47 74 5 44 51 2 9 48 55 6 13 52 59 10 17 56 63 14 21 60 67 18 25 64 71 22 29 68 75 26 33 72 3 30 37 1 7 34 41 4 11 38 45 8 15 42 49 12 19 46 53 16 23 50 20 
58 20 61 62 23 24 65 66 27 28 69 70 31 32 73 74 35 36 76 2 39 40 5 6 43 44 9 10 47 48 13 14 51 52 17 18 55 56 21 22 59 60 25 26 63 64 29 30 67 68 33 34 71 72 37 38 75 1 41 42 3 4 45 46 7 8 49 50 11 12 53 54 15 16 57 19 
59 25 56 63 22 29 60 67 26 33 64 71 30 37 68 75 34 41 72 3 38 45 1 7 42 49 4 11 46 53 8 15 50 57 12 19 54 61 16 23 58 65 20 27 62 69 24 31 66 73 28 35 70 76 32 39 74 5 36 43 2 9 40 47 6 13 44 51 10 17 48 55 14 21 52 18 
60 18 63 64 21 22 67 68 25 26 71 72 29 30 75 1 33 34 3 4 37 38 7 8 41 42 11 12 45 46 15 16 49 50 19 20 53 54 23 24 57 58 27 28 61 62 31 32 65 66 35 36 69 70 39 40 73 74 43 44 76 2 47 48 5 6 51 52 9 10 55 56 13 14 59 17 
61 23 58 65 20 27 62 69 24 31 66 73 28 35 70 76 32 39 74 5 36 43 2 9 40 47 6 13 44 51 10 17 48 55 14 21 52 59 18 25 56 63 22 29 60 67 26 33 64 71 30 37 68 75 34 41 72 3 38 45 1 7 42 49 4 11 46 53 8 15 50 57 12 19 54 16 
62 16 65 66 19 20 69 70 23 24 73 74 27 28 76 2 31 32 5 6 35 36 9 10 39 40 13 14 43 44 17 18 47 48 21 22 51 52 25 26 55 56 29 30 59 60 33 34 63 64 37 38 67 68 41 42 71 72 45 46 75 1 49 50 3 4 53 54 7 8 57 58 11 12 61 15 
63 21 60 67 18 25 64 71 22 29 68 75 26 33 72 3 30 37 1 7 34 41 4 11 38 45 8 15 42 49 12 19 46 53 16 23 50 57 20 27 54 61 24 31 58 65 28 35 62 69 32 39 66 73 36 43 70 76 40 47 74 5 44 51 2 9 48 55 6 13 52 59 10 17 56 14 
64 14 67 68 17 18 71 72 21 22 75 1 25 26 3 4 29 30 7 8 33 34 11 12 37 38 15 16 41 42 19 20 45 46 23 24 49 50 27 28 53 54 31 32 57 58 35 36 61 62 39 40 65 66 43 44 69 70 47 48 73 74 51 52 76 2 55 56 5 6 59 60 9 10 63 13 
65 19 62 69 16 23 66 73 20 27 70 76 24 31 74 5 28 35 2 9 32 39 6 13 36 43 10 17 40 47 14 21 44 51 18 25 48 55 22 29 52 59 26 33 56 63 30 37 60 67 34 41 64 71 38 45 68 75 42 49 72 3 46 53 1 7 50 57 4 11 54 61 8 15 58 12 
66 12 69 70 15 16 73 74 19 20 76 2 23 24 5 6 27 28 9 10 31 32 13 14 35 36 17 18 39 40 21 22 43 44 25 26 47 48 29 30 51 52 33 34 55 56 37 38 59 60 41 42 63 64 45 46 67 68 49 50 71 72 53 54 75 1 57 58 3 4 61 62 7 8 65 11 
67 17 64 71 14 21 68 75 18 25 72 3 22 29 1 7 26 33 4 11 30 37 8 15 34 41 12 19 38 45 16 23 42 49 20 27 46 53 24 31 50 57 28 35 54 61 32 39 58 65 36 43 62 69 40 47 66 73 44 51 70 76 48 55 74 5 52 59 2 9 56 63 6 13 60 10 
68 10 71 72 13 14 75 1 17 18 3 4 21 22 7 8 25 26 11 12 29 30 15 16 33 34 19 20 37 38 23 24 41 42 27 28 45 46 31 32 49 50 35 36 53 54 39 40 57 58 43 44 61 62 47 48 65 66 51 52 69 70 55 56 73 74 59 60 76 2 63 64 5 6 67 9 
69 15 66 73 12 19 70 76 16 23 74 5 20 27 2 9 24 31 6 13 28 35 10 17 32 39 14 21 36 43 18 25 40 47 22 29 44 51 26 33 48 55 30 37 52 59 34 41 56 63 38 45 60 67 42 49 64 71 46 53 68 75 50 57 72 3 54 61 1 7 58 65 4 11 62 8 
70 8 73 74 11 12 76 2 15 16 5 6 19 20 9 10 23 24 13 14 27 28 17 18 31 32 21 22 35 36 25 26 39 40 29 30 43 44 33 34 47 48 37 38 51 52 41 42 55 56 45 46 59 60 49 50 63 64 53 54 67 68 57 58 71 72 61 62 75 1 65 66 3 4 69 7 
71 13 68 75 10 17 72 3 14 21 1 7 18 25 4 11 22 29 8 15 26 33 12 19 30 37 16 23 34 41 20 27 38 45 24 31 42 49 28 35 46 53 32 39 50 57 36 43 54 61 40 47 58 65 44 51 62 69 48 55 66 73 52 59 70 76 56 63 74 5 60 67 2 9 64 6 
72 6 75 1 9 10 3 4 13 14 7 8 17 18 11 12 21 22 15 16 25 26 19 20 29 30 23 24 33 34 27 28 37 38 31 32 41 42 35 36 45 46 39 40 49 50 43 44 53 54 47 48 57 58 51 52 61 62 55 56 65 66 59 60 69 70 63 64 73 74 67 68 76 2 71 5 
73 11 70 76 8 15 74 5 12 19 2 9 16 23 6 13 20 27 10 17 24 31 14 21 28 35 18 25 32 39 22 29 36 43 26 33 40 47 30 37 44 51 34 41 48 55 38 45 52 59 42 49 56 63 46 53 60 67 50 57 64 71 54 61 68 75 58 65 72 3 62 69 1 7 66 4 
74 4 76 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 35 36 33 34 39 40 37 38 43 44 41 42 47 48 45 46 51 52 49 50 55 56 53 54 59 60 57 58 63 64 61 62 67 68 65 66 71 72 69 70 75 1 73 3 
75 9 72 3 6 13 1 7 10 17 4 11 14 21 8 15 18 25 12 19 22 29 16 23 26 33 20 27 30 37 24 31 34 41 28 35 38 45 32 39 42 49 36 43 46 53 40 47 50 57 44 51 54 61 48 55 58 65 52 59 62 69 56 63 66 73 60 67 70 76 64 71 74 5 68 2 
76 7 74 5 4 11 2 9 8 15 6 13 12 19 10 17 16 23 14 21 20 27 18 25 24 31 22 29 28 35 26 33 32 39 30 37 36 43 34 41 40 47 38 45 44 51 42 49 48 55 46 53 52 59 50 57 56 63 54 61 60 67 58 65 64 71 62 69 68 75 66 73 72 3 70 1 
