63 4
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 
48 36 55 56 42 44 45 60 61 5 50 51 52 53 1 63 11 12 57 58 2 59 3 4 19 20 21 62 6 7 8 9 10 28 29 30 13 14 15 16 17 18 37 38 39 22 23 24 25 26 27 46 47 31 32 33 34 35 54 40 41 43 49 
49 54 33 57 43 39 60 41 42 62 27 52 47 48 63 50 51 13 35 36 59 55 56 19 58 2 22 44 45 8 61 5 28 6 7 31 53 1 16 11 12 37 14 15 40 3 4 25 20 21 46 23 24 9 10 34 29 30 32 17 18 38 26 
50 55 57 58 44 60 61 42 62 6 52 53 48 63 11 51 13 14 36 59 3 56 19 20 2 22 23 45 8 9 5 28 29 7 31 32 1 16 17 12 37 38 15 40 41 4 25 26 21 46 47 24 49 10 34 35 30 54 33 18 43 39 27 
51 56 58 2 45 61 5 62 6 7 53 1 63 11 12 13 14 15 59 3 4 19 20 21 22 23 24 8 9 10 28 29 30 31 32 33 16 17 18 37 38 39 40 41 42 25 26 27 46 47 48 49 50 34 35 36 54 55 57 43 44 60 52 
52 57 36 59 60 42 62 44 45 8 48 63 50 51 13 53 1 16 55 56 19 58 2 22 3 4 25 61 5 28 6 7 31 9 10 34 11 12 37 14 15 40 17 18 43 20 21 46 23 24 49 26 27 29 30 54 32 33 35 38 39 41 47 
53 58 59 3 61 62 6 45 8 9 63 11 51 13 14 1 16 17 56 19 20 2 22 23 4 25 26 5 28 29 7 31 32 10 34 35 12 37 38 15 40 41 18 43 44 21 46 47 24 49 50 27 52 30 54 55 33 57 36 39 60 42 48 
54 43 39 60 49 27 52 47 48 63 33 57 35 36 59 55 56 19 41 42 62 44 45 8 61 5 28 50 51 13 53 1 16 11 12 37 58 2 22 3 4 25 20 21 46 6 7 31 9 10 34 29 30 14 15 40 17 18 38 23 24 26 32 
55 44 60 61 50 52 53 48 63 11 57 58 36 59 3 56 19 20 42 62 6 45 8 9 5 28 29 51 13 14 1 16 17 12 37 38 2 22 23 4 25 26 21 46 47 7 31 32 10 34 35 30 54 15 40 41 18 43 39 24 49 27 33 
56 45 61 5 51 53 1 63 11 12 58 2 59 3 4 19 20 21 62 6 7 8 9 10 28 29 30 13 14 15 16 17 18 37 38 39 22 23 24 25 26 27 46 47 48 31 32 33 34 35 36 54 55 40 41 42 43 44 60 49 50 52 57 
57 60 42 62 52 48 63 50 51 13 36 59 55 56 19 58 2 22 44 45 8 61 5 28 6 7 31 53 1 16 11 12 37 14 15 40 3 4 25 20 21 46 23 24 49 9 10 34 29 30 54 32 33 17 18 43 38 39 41 26 27 47 35 
58 61 62 6 53 63 11 51 13 14 59 3 56 19 20 2 22 23 45 8 9 5 28 29 7 31 32 1 16 17 12 37 38 15 40 41 4 25 26 21 46 47 24 49 50 10 34 35 30 54 55 33 57 18 43 44 39 60 42 27 52 48 36 
59 62 45 8 63 51 13 53 1 16 56 19 58 2 22 3 4 25 61 5 28 6 7 31 9 10 34 11 12 37 14 15 40 17 18 43 20 21 46 23 24 49 26 27 52 29 30 54 32 33 57 35 36 38 39 60 41 42 44 47 48 50 55 
60 52 48 63 57 36 59 55 56 19 42 62 44 45 8 61 5 28 50 51 13 53 1 16 11 12 37 58 2 22 3 4 25 20 21 46 6 7 31 9 10 34 29 30 54 14 15 40 17 18 43 38 39 23 24 49 26 27 47 32 33 35 41 
61 53 63 11 58 59 3 56 19 20 62 6 45 8 9 5 28 29 51 13 14 1 16 17 12 37 38 2 22 23 4 25 26 21 46 47 7 31 32 10 34 35 30 54 55 15 40 41 18 43 44 39 60 24 49 50 27 52 48 33 57 36 42 
62 63 51 13 59 56 19 58 2 22 45 8 61 5 28 6 7 31 53 1 16 11 12 37 14 15 40 3 4 25 20 21 46 23 24 49 9 10 34 29 30 54 32 33 57 17 18 43 38 39 60 41 42 26 27 52 47 48 50 35 36 55 44 
63 59 56 19 62 45 8 61 5 28 51 13 53 1 16 11 12 37 58 2 22 3 4 25 20 21 46 6 7 31 9 10 34 29 30 54 14 15 40 17 18 43 38 39 60 23 24 49 26 27 52 47 48 32 33 57 35 36 55 41 42 44 50 
