80 47
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 
44 35 16 58 60 27 40 49 51 52 29 31 32 72 41 73 43 54 56 23 64 65 66 67 45 46 47 48 79 57 13 59 69 37 70 39 75 76 7 77 61 62 1 63 26 71 28 3 78 53 10 55 18 80 19 20 4 74 5 6 42 11 12 22 68 24 2 33 34 36 14 15 17 25 38 8 9 50 30 21 
45 53 57 31 61 62 64 39 68 69 43 71 72 47 48 4 74 51 75 76 55 56 8 78 59 60 11 79 1 63 14 15 66 67 18 80 2 70 21 22 3 73 25 26 5 6 29 30 7 77 33 34 9 10 37 38 12 13 41 42 16 17 46 19 20 49 50 23 24 54 27 28 58 32 35 36 65 40 44 52 
46 54 58 32 62 29 65 40 69 37 44 72 41 48 16 74 45 52 76 49 56 23 78 53 60 27 79 57 63 31 15 61 67 35 80 64 70 39 22 68 73 43 26 71 6 47 30 4 77 51 34 75 10 55 38 8 13 59 42 11 17 1 14 20 66 50 18 24 2 21 28 3 25 5 36 7 33 9 12 19 
47 55 59 61 1 63 66 68 2 70 71 3 73 4 74 5 6 75 7 77 8 78 9 10 11 79 12 13 14 15 16 17 18 80 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 48 49 50 51 52 53 54 56 57 58 60 62 64 65 67 69 72 76 
48 56 60 62 63 31 67 69 70 39 72 73 43 74 45 6 47 76 77 51 78 53 10 55 79 57 13 59 15 61 17 1 80 64 20 66 22 68 24 2 26 71 28 3 30 4 32 5 34 75 36 7 38 8 40 9 42 11 44 12 46 14 16 50 18 52 19 54 21 23 58 25 27 29 65 33 35 37 41 49 
49 41 54 35 64 65 46 27 57 58 40 69 37 51 52 75 76 32 62 29 43 44 71 72 56 23 78 53 66 67 18 80 48 16 74 45 59 60 11 79 70 39 22 68 7 77 33 34 63 31 15 61 3 73 25 26 10 55 38 8 19 20 50 6 47 30 4 12 13 42 24 2 21 36 17 1 14 28 9 5 
50 42 21 36 65 33 14 28 58 25 9 37 38 52 19 76 49 5 29 30 44 12 72 41 23 24 53 54 67 35 80 64 16 17 45 46 60 27 79 57 39 40 68 69 77 51 34 75 31 32 61 62 73 43 26 71 55 56 8 78 20 66 18 47 48 4 74 13 59 11 2 70 22 7 1 63 15 3 10 6 
51 43 56 64 66 67 48 57 59 60 69 70 39 75 76 7 77 62 63 31 71 72 3 73 78 53 10 55 18 80 19 20 74 45 6 47 11 79 12 13 22 68 24 2 33 34 35 36 15 61 17 1 25 26 27 28 38 8 40 9 49 50 52 30 4 32 5 41 42 44 54 21 23 65 46 14 16 58 37 29 
52 44 23 65 67 35 16 58 60 27 37 39 40 76 49 77 51 29 31 32 72 41 73 43 53 54 55 56 80 64 20 66 45 46 47 48 79 57 13 59 68 69 2 70 34 75 36 7 61 62 1 63 26 71 28 3 8 78 9 10 50 18 19 4 74 5 6 42 11 12 21 22 24 33 14 15 17 25 38 30 
53 62 64 39 68 69 72 48 74 45 51 75 76 55 56 8 78 60 79 57 63 31 15 61 66 67 18 80 2 70 21 22 73 43 26 71 6 47 30 4 7 77 33 34 9 10 37 38 13 59 42 11 17 1 46 14 19 20 49 50 23 24 54 28 3 58 25 32 5 29 35 36 65 40 44 12 41 16 52 27 
