84 3
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 
41 34 53 54 14 46 21 48 65 66 25 26 27 58 33 60 35 20 75 76 37 38 39 40 69 45 71 47 32 9 81 82 49 50 51 52 77 57 79 59 44 19 18 84 61 62 63 64 12 68 83 70 56 31 29 30 2 72 73 74 22 5 24 78 67 43 42 6 7 8 80 11 36 13 4 55 15 16 17 23 10 1 28 3 
42 11 54 29 15 21 22 23 66 41 26 6 28 33 34 35 36 3 76 53 38 14 40 16 45 46 47 48 9 10 82 65 50 25 52 27 57 58 59 60 19 20 84 75 62 37 64 39 68 69 70 71 31 32 30 81 72 49 74 51 5 77 78 79 43 44 18 7 61 80 63 12 13 83 55 56 2 17 73 24 1 67 8 4 
43 49 55 56 57 61 62 63 1 67 68 69 70 2 72 73 74 75 3 4 5 77 78 79 6 7 8 80 81 82 9 10 11 12 13 83 14 15 16 17 18 84 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 46 47 48 50 51 52 53 54 58 59 60 64 65 66 71 76 
44 50 56 31 58 62 37 64 67 43 69 45 71 72 49 74 51 76 4 55 77 57 79 59 7 61 80 63 82 65 10 1 12 68 83 70 15 2 17 73 84 75 20 3 22 5 24 78 26 6 28 8 30 81 32 9 34 11 36 13 38 14 40 16 42 18 19 46 21 48 23 25 52 27 54 29 33 60 35 39 66 41 47 53 
45 65 57 58 59 75 76 37 68 69 70 71 31 81 82 49 50 51 5 77 78 79 43 44 18 84 61 62 63 64 11 12 13 83 55 56 29 30 2 72 73 74 21 22 23 24 1 67 41 42 6 7 8 80 33 34 35 36 3 4 53 54 14 15 16 17 46 47 48 9 10 66 25 26 27 28 60 19 20 38 39 40 32 52 
46 66 58 33 60 76 53 38 69 45 71 47 32 82 65 50 25 52 77 57 79 59 44 19 84 75 62 37 64 39 12 68 83 70 56 31 30 81 72 49 74 51 22 5 24 78 67 43 42 18 7 61 80 63 34 11 36 13 4 55 54 29 15 2 17 73 21 48 23 10 1 41 26 6 28 8 35 20 3 14 40 16 9 27 
47 39 59 60 19 51 52 53 70 71 31 32 33 63 64 65 66 25 78 79 43 44 45 46 73 74 75 76 37 38 13 83 55 56 57 58 8 80 81 82 49 50 23 24 1 67 68 69 16 17 18 84 61 62 35 36 3 4 5 77 27 28 29 30 2 72 48 9 10 11 12 40 41 42 6 7 20 21 22 54 14 15 34 26 
48 40 60 35 20 52 27 54 71 47 32 9 34 64 39 66 41 26 79 59 44 19 46 21 74 51 76 53 38 14 83 70 56 31 58 33 80 63 82 65 50 25 24 78 67 43 69 45 17 73 84 75 62 37 36 13 4 55 77 57 28 8 30 81 72 49 23 10 1 12 68 16 42 18 7 61 3 22 5 29 15 2 11 6 
49 56 61 62 63 67 43 69 2 72 73 74 75 4 55 77 57 79 6 7 8 80 81 82 10 1 12 68 83 70 14 15 16 17 18 84 20 3 22 5 24 78 25 26 27 28 29 30 32 9 34 11 36 13 37 38 39 40 41 42 44 19 46 21 48 23 50 51 52 53 54 31 58 33 60 35 64 65 66 45 71 47 76 59 
50 31 62 37 64 43 44 45 72 49 74 51 76 55 56 57 58 59 7 61 80 63 82 65 1 67 68 69 70 71 15 2 17 73 84 75 3 4 5 77 78 79 26 6 28 8 30 81 9 10 11 12 13 83 38 14 40 16 42 18 19 20 21 22 23 24 25 52 27 54 29 32 33 34 35 36 39 66 41 46 47 48 53 60 
