104 12
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 
47 5 53 64 55 10 99 12 70 61 72 63 103 18 4 20 78 69 80 71 9 26 11 28 86 77 88 79 17 34 19 36 94 85 96 87 25 42 27 44 101 93 2 95 33 50 35 52 6 100 8 102 41 58 43 60 14 104 16 7 49 66 51 68 22 13 24 15 57 74 59 76 30 21 32 23 65 82 67 84 38 29 40 31 73 90 75 92 46 37 48 39 81 98 83 1 54 45 56 89 3 91 62 97 
48 75 54 63 56 81 28 83 69 62 71 64 34 89 36 91 77 70 79 72 42 97 44 99 85 78 87 80 50 103 52 4 93 86 95 88 58 9 60 11 100 94 102 96 66 17 68 19 104 101 7 2 74 25 76 27 13 6 15 8 82 33 84 35 21 14 23 16 90 41 92 43 29 22 31 24 98 49 1 51 37 30 39 32 3 57 5 59 45 38 47 40 10 65 12 67 53 46 55 18 73 20 61 26 
49 21 43 66 57 15 101 29 60 51 74 65 96 23 6 37 68 59 82 73 2 31 14 45 76 67 90 81 8 39 22 53 84 75 98 89 16 47 30 61 92 83 3 97 24 55 38 69 1 91 10 103 32 63 46 77 5 99 18 9 40 71 54 85 12 4 26 17 48 79 62 93 20 11 34 25 56 87 70 100 28 19 42 33 64 95 78 104 36 27 50 41 72 102 86 13 44 35 58 80 7 94 52 88 
50 78 44 65 58 72 45 86 59 52 73 66 39 80 53 94 67 60 81 74 47 88 61 101 75 68 89 82 55 96 69 6 83 76 97 90 63 2 77 14 91 84 103 98 71 8 85 22 99 92 9 3 79 16 93 30 4 1 17 10 87 24 100 38 11 5 25 18 95 32 104 46 19 12 33 26 102 40 13 54 27 20 41 34 7 48 21 62 35 28 49 42 15 56 29 70 43 36 57 23 64 37 51 31 
51 79 57 52 59 85 32 87 58 65 60 67 38 93 40 95 66 73 68 75 46 100 48 102 74 81 76 83 54 104 56 7 82 89 84 91 62 13 64 15 90 97 92 99 70 21 72 23 98 103 1 4 78 29 80 31 3 9 5 11 86 37 88 39 10 17 12 19 94 45 96 47 18 25 20 27 101 53 2 55 26 33 28 35 6 61 8 63 34 41 36 43 14 69 16 71 42 49 44 22 77 24 50 30 
52 32 58 51 60 38 79 40 57 66 59 68 85 46 87 48 65 74 67 76 93 54 95 56 73 82 75 84 100 62 102 64 81 90 83 92 104 70 7 72 89 98 91 1 13 78 15 80 97 3 99 5 21 86 23 88 103 10 4 12 29 94 31 96 9 18 11 20 37 101 39 2 17 26 19 28 45 6 47 8 25 34 27 36 53 14 55 16 33 42 35 44 61 22 63 24 41 50 43 69 30 71 49 77 
53 10 47 70 61 5 103 18 64 55 78 69 99 12 9 26 72 63 86 77 4 20 17 34 80 71 94 85 11 28 25 42 88 79 101 93 19 36 33 50 96 87 6 100 27 44 41 58 2 95 14 104 35 52 49 66 8 102 22 13 43 60 57 74 16 7 30 21 51 68 65 82 24 15 38 29 59 76 73 90 32 23 46 37 67 84 81 98 40 31 54 45 75 92 89 3 48 39 62 83 1 97 56 91 
54 81 48 69 62 75 34 89 63 56 77 70 28 83 42 97 71 64 85 78 36 91 50 103 79 72 93 86 44 99 58 9 87 80 100 94 52 4 66 17 95 88 104 101 60 11 74 25 102 96 13 6 68 19 82 33 7 2 21 14 76 27 90 41 15 8 29 22 84 35 98 49 23 16 37 30 92 43 3 57 31 24 45 38 1 51 10 65 39 32 53 46 5 59 18 73 47 40 61 12 67 26 55 20 
55 68 61 56 63 74 35 76 62 69 64 71 41 82 43 84 70 77 72 79 49 90 51 92 78 85 80 87 57 98 59 1 86 93 88 95 65 3 67 5 94 100 96 102 73 10 75 12 101 104 2 7 81 18 83 20 6 13 8 15 89 26 91 28 14 21 16 23 97 34 99 36 22 29 24 31 103 42 4 44 30 37 32 39 9 50 11 52 38 45 40 47 17 58 19 60 46 53 48 25 66 27 54 33 
56 35 62 55 64 41 68 43 61 70 63 72 74 49 76 51 69 78 71 80 82 57 84 59 77 86 79 88 90 65 92 67 85 94 87 96 98 73 1 75 93 101 95 2 3 81 5 83 100 6 102 8 10 89 12 91 104 14 7 16 18 97 20 99 13 22 15 24 26 103 28 4 21 30 23 32 34 9 36 11 29 38 31 40 42 17 44 19 37 46 39 48 50 25 52 27 45 54 47 58 33 60 53 66 
