100 7
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
41 8 55 59 1 15 17 18 72 3 75 4 5 27 28 30 31 32 85 9 10 87 11 12 13 43 44 45 47 48 49 50 94 19 20 21 95 22 23 24 25 61 62 63 64 65 66 67 68 2 99 33 34 35 36 37 38 39 40 76 77 78 79 6 80 81 82 7 51 52 53 54 56 57 58 88 89 90 14 91 92 16 69 70 71 73 74 96 97 26 98 29 83 84 86 100 42 46 93 60 
42 11 29 60 61 19 22 23 46 47 6 76 77 33 34 37 38 39 2 65 66 14 15 88 89 51 52 53 1 56 57 58 7 8 80 81 26 27 28 96 97 3 69 70 71 4 5 73 74 75 16 17 18 91 92 43 44 45 100 9 10 83 84 85 12 13 86 87 30 31 32 98 62 63 64 20 21 93 94 24 25 95 48 49 50 78 79 35 36 99 40 41 67 68 90 54 55 59 82 72 
43 87 30 61 62 94 95 22 47 48 76 77 78 99 33 41 37 38 65 66 67 15 88 89 90 55 51 52 59 1 56 57 8 80 81 82 27 28 96 97 26 72 3 69 70 75 4 5 73 74 17 18 91 92 16 44 45 100 42 85 9 10 83 84 11 12 13 86 31 32 98 29 63 64 60 19 20 21 93 23 24 25 49 50 46 79 6 34 35 36 39 40 68 2 14 53 54 58 7 71 
44 86 31 62 63 93 25 95 48 49 77 78 79 36 99 40 41 37 66 67 68 88 89 90 14 54 55 51 58 59 1 56 80 81 82 7 28 96 97 26 27 71 72 3 69 74 75 4 5 73 18 91 92 16 17 45 100 42 43 84 85 9 10 83 87 11 12 13 32 98 29 30 64 60 61 94 19 20 21 22 23 24 50 46 47 6 76 33 34 35 38 39 2 65 15 52 53 57 8 70 
45 13 32 63 64 21 24 25 49 50 78 79 6 35 36 39 40 41 67 68 2 89 90 14 15 53 54 55 57 58 59 1 81 82 7 8 96 97 26 27 28 70 71 72 3 73 74 75 4 5 91 92 16 17 18 100 42 43 44 83 84 85 9 10 86 87 11 12 98 29 30 31 60 61 62 93 94 19 20 95 22 23 46 47 48 76 77 99 33 34 37 38 65 66 88 51 52 56 80 69 
46 9 60 2 65 4 19 20 6 76 7 8 80 11 12 33 34 35 14 15 88 16 17 18 91 22 23 24 51 52 53 54 26 27 28 96 29 30 31 32 98 37 38 39 40 3 69 70 71 72 42 43 44 45 100 47 48 49 50 1 56 57 58 59 10 83 84 85 61 62 63 64 66 67 68 5 73 74 75 21 93 94 77 78 79 81 82 13 86 87 36 99 89 90 92 25 95 55 97 41 
47 85 61 65 66 75 94 19 76 77 8 80 81 87 11 99 33 34 15 88 89 17 18 91 92 95 22 23 55 51 52 53 27 28 96 97 30 31 32 98 29 41 37 38 39 72 3 69 70 71 43 44 45 100 42 48 49 50 46 59 1 56 57 58 9 10 83 84 62 63 64 60 67 68 2 4 5 73 74 20 21 93 78 79 6 82 7 12 13 86 35 36 90 14 16 24 25 54 26 40 
48 84 62 66 67 74 93 94 77 78 80 81 82 86 87 36 99 33 88 89 90 18 91 92 16 25 95 22 54 55 51 52 28 96 97 26 31 32 98 29 30 40 41 37 38 71 72 3 69 70 44 45 100 42 43 49 50 46 47 58 59 1 56 57 85 9 10 83 63 64 60 61 68 2 65 75 4 5 73 19 20 21 79 6 76 7 8 11 12 13 34 35 14 15 17 23 24 53 27 39 
49 83 63 67 68 73 21 93 78 79 81 82 7 13 86 35 36 99 89 90 14 91 92 16 17 24 25 95 53 54 55 51 96 97 26 27 32 98 29 30 31 39 40 41 37 70 71 72 3 69 45 100 42 43 44 50 46 47 48 57 58 59 1 56 84 85 9 10 64 60 61 62 2 65 66 74 75 4 5 94 19 20 6 76 77 8 80 87 11 12 33 34 15 88 18 22 23 52 28 38 
50 10 64 68 2 5 20 21 79 6 82 7 8 12 13 34 35 36 90 14 15 92 16 17 18 23 24 25 52 53 54 55 97 26 27 28 98 29 30 31 32 38 39 40 41 69 70 71 72 3 100 42 43 44 45 46 47 48 49 56 57 58 59 1 83 84 85 9 60 61 62 63 65 66 67 73 74 75 4 93 94 19 76 77 78 80 81 86 87 11 99 33 88 89 91 95 22 51 96 37 
