88 11
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 
39 59 45 32 47 65 52 67 38 53 40 55 58 73 60 75 46 61 48 63 66 81 68 83 54 69 56 71 74 87 76 4 62 77 64 79 82 9 1 11 70 84 72 86 3 17 5 19 78 88 80 7 10 25 12 27 85 13 2 15 18 33 20 35 6 21 8 23 26 41 28 43 14 29 16 31 34 49 36 51 22 37 24 42 57 44 30 50 
40 44 46 47 48 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 1 84 85 86 2 87 3 4 5 88 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 41 42 43 45 49 
41 69 35 34 49 63 62 77 28 43 42 57 56 71 70 84 36 51 50 65 64 79 78 88 44 59 58 73 72 86 85 13 52 67 66 81 80 7 6 21 60 75 74 87 2 15 14 29 68 83 82 9 8 23 22 37 76 4 3 17 16 31 30 45 1 11 10 25 24 39 38 53 5 19 18 33 32 47 46 61 12 27 26 40 55 54 20 48 
42 54 36 49 50 48 61 62 43 44 57 58 55 56 69 70 51 52 65 66 63 64 77 78 59 60 73 74 71 72 84 85 67 68 81 82 79 80 88 6 75 76 87 3 86 2 13 14 83 1 9 10 7 8 21 22 4 5 17 18 15 16 29 30 11 12 25 26 23 24 37 38 19 20 33 34 31 32 45 46 27 28 41 39 40 53 35 47 
43 55 49 36 51 61 48 63 42 57 44 59 54 69 56 71 50 65 52 67 62 77 64 79 58 73 60 75 70 84 72 86 66 81 68 83 78 88 80 7 74 87 76 4 85 13 2 15 82 9 1 11 6 21 8 23 3 17 5 19 14 29 16 31 10 25 12 27 22 37 24 39 18 33 20 35 30 45 32 47 26 41 28 38 53 40 34 46 
44 40 50 51 52 46 47 48 57 58 59 60 53 54 55 56 65 66 67 68 61 62 63 64 73 74 75 76 69 70 71 72 81 82 83 1 77 78 79 80 87 3 4 5 84 85 86 2 9 10 11 12 88 6 7 8 17 18 19 20 13 14 15 16 25 26 27 28 21 22 23 24 33 34 35 36 29 30 31 32 41 42 43 37 38 39 49 45 
45 65 39 38 53 59 58 73 32 47 46 61 52 67 66 81 40 55 54 69 60 75 74 87 48 63 62 77 68 83 82 9 56 71 70 84 76 4 3 17 64 79 78 88 1 11 10 25 72 86 85 13 5 19 18 33 80 7 6 21 12 27 26 41 2 15 14 29 20 35 34 49 8 23 22 37 28 43 42 57 16 31 30 36 51 50 24 44 
46 50 40 53 54 44 57 58 47 48 61 62 51 52 65 66 55 56 69 70 59 60 73 74 63 64 77 78 67 68 81 82 71 72 84 85 75 76 87 3 79 80 88 6 83 1 9 10 86 2 13 14 4 5 17 18 7 8 21 22 11 12 25 26 15 16 29 30 19 20 33 34 23 24 37 38 27 28 41 42 31 32 45 35 36 49 39 43 
47 51 53 40 55 57 44 59 46 61 48 63 50 65 52 67 54 69 56 71 58 73 60 75 62 77 64 79 66 81 68 83 70 84 72 86 74 87 76 4 78 88 80 7 82 9 1 11 85 13 2 15 3 17 5 19 6 21 8 23 10 25 12 27 14 29 16 31 18 33 20 35 22 37 24 39 26 41 28 43 30 45 32 34 49 36 38 42 
48 36 54 55 56 42 43 44 61 62 63 64 49 50 51 52 69 70 71 72 57 58 59 60 77 78 79 80 65 66 67 68 84 85 86 2 73 74 75 76 88 6 7 8 81 82 83 1 13 14 15 16 87 3 4 5 21 22 23 24 9 10 11 12 29 30 31 32 17 18 19 20 37 38 39 40 25 26 27 28 45 46 47 33 34 35 53 41 
