105 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 
45 55 59 60 65 69 70 73 74 1 78 79 82 83 2 85 86 3 4 89 90 5 92 93 6 7 94 95 8 9 10 97 98 11 12 99 100 13 14 15 101 16 17 18 19 102 103 20 21 22 104 23 24 25 26 27 28 29 30 31 105 32 33 34 35 36 37 38 39 40 41 42 43 44 46 47 48 49 50 51 52 53 54 56 57 58 61 62 63 64 66 67 68 71 72 75 76 77 80 81 84 87 88 91 96 
46 27 5 61 36 1 41 11 12 75 2 51 3 4 56 20 21 22 87 6 7 66 8 9 10 71 32 33 34 35 96 13 14 15 80 16 17 18 19 84 47 48 49 50 102 23 24 25 26 91 28 29 30 31 94 62 63 64 65 105 37 38 39 40 99 42 43 44 45 101 76 77 78 79 52 53 54 55 104 57 58 59 60 88 89 90 67 68 69 70 72 73 74 97 98 81 82 83 85 86 103 92 93 95 100 
47 28 61 62 37 41 42 12 75 76 51 52 4 56 57 21 22 87 88 7 66 67 9 10 71 72 33 34 35 96 97 14 15 80 81 17 18 19 84 85 48 49 50 102 103 24 25 26 91 92 29 30 31 94 95 63 64 65 105 32 38 39 40 99 100 43 44 45 101 16 77 78 79 46 53 54 55 104 23 58 59 60 27 89 90 5 68 69 70 36 73 74 1 98 11 82 83 2 86 3 20 93 6 8 13 
48 29 62 63 38 42 43 75 76 77 52 53 56 57 58 22 87 88 89 66 67 68 10 71 72 73 34 35 96 97 98 15 80 81 82 18 19 84 85 86 49 50 102 103 20 25 26 91 92 93 30 31 94 95 8 64 65 105 32 33 39 40 99 100 13 44 45 101 16 17 78 79 46 47 54 55 104 23 24 59 60 27 28 90 5 61 69 70 36 37 74 1 41 11 12 83 2 51 3 4 21 6 7 9 14 
49 30 63 64 39 43 44 76 77 78 53 54 57 58 59 87 88 89 90 67 68 69 71 72 73 74 35 96 97 98 11 80 81 82 83 19 84 85 86 3 50 102 103 20 21 26 91 92 93 6 31 94 95 8 9 65 105 32 33 34 40 99 100 13 14 45 101 16 17 18 79 46 47 48 55 104 23 24 25 60 27 28 29 5 61 62 70 36 37 38 1 41 42 12 75 2 51 52 4 56 22 7 66 10 15 
50 31 64 65 40 44 45 77 78 79 54 55 58 59 60 88 89 90 5 68 69 70 72 73 74 1 96 97 98 11 12 81 82 83 2 84 85 86 3 4 102 103 20 21 22 91 92 93 6 7 94 95 8 9 10 105 32 33 34 35 99 100 13 14 15 101 16 17 18 19 46 47 48 49 104 23 24 25 26 27 28 29 30 61 62 63 36 37 38 39 41 42 43 75 76 51 52 53 56 57 87 66 67 71 80 
51 61 7 66 41 12 75 14 15 80 4 56 21 22 87 24 25 26 91 9 10 71 33 34 35 96 37 38 39 40 99 17 18 19 84 47 48 49 50 102 52 53 54 55 104 28 29 30 31 94 62 63 64 65 105 67 68 69 70 36 42 43 44 45 101 76 77 78 79 46 81 82 83 2 57 58 59 60 27 88 89 90 5 92 93 6 72 73 74 1 97 98 11 100 13 85 86 3 103 20 23 95 8 32 16 
52 62 66 67 42 75 76 15 80 81 56 57 22 87 88 25 26 91 92 10 71 72 34 35 96 97 38 39 40 99 100 18 19 84 85 48 49 50 102 103 53 54 55 104 23 29 30 31 94 95 63 64 65 105 32 68 69 70 36 37 43 44 45 101 16 77 78 79 46 47 82 83 2 51 58 59 60 27 28 89 90 5 61 93 6 7 73 74 1 41 98 11 12 13 14 86 3 4 20 21 24 8 9 33 17 
53 63 67 68 43 76 77 80 81 82 57 58 87 88 89 26 91 92 93 71 72 73 35 96 97 98 39 40 99 100 13 19 84 85 86 49 50 102 103 20 54 55 104 23 24 30 31 94 95 8 64 65 105 32 33 69 70 36 37 38 44 45 101 16 17 78 79 46 47 48 83 2 51 52 59 60 27 28 29 90 5 61 62 6 7 66 74 1 41 42 11 12 75 14 15 3 4 56 21 22 25 9 10 34 18 
54 64 68 69 44 77 78 81 82 83 58 59 88 89 90 91 92 93 6 72 73 74 96 97 98 11 40 99 100 13 14 84 85 86 3 50 102 103 20 21 55 104 23 24 25 31 94 95 8 9 65 105 32 33 34 70 36 37 38 39 45 101 16 17 18 79 46 47 48 49 2 51 52 53 60 27 28 29 30 5 61 62 63 7 66 67 1 41 42 43 12 75 76 15 80 4 56 57 22 87 26 10 71 35 19 
