96 2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 
59 7 80 12 31 60 84 17 20 22 23 1 90 28 55 81 94 33 34 2 61 9 29 38 41 43 44 3 46 47 4 48 5 6 52 76 91 96 57 58 8 82 25 53 62 10 11 30 65 67 68 13 70 71 14 72 15 16 73 18 19 21 78 79 24 92 49 74 83 26 27 54 32 86 87 35 88 36 37 89 39 40 42 45 93 50 51 75 56 95 63 64 66 69 77 85 
60 23 81 34 61 84 29 44 47 48 1 6 91 58 82 94 53 62 2 11 9 30 59 68 71 72 3 16 73 4 19 5 21 7 79 92 96 74 83 8 27 25 54 80 10 32 12 31 87 88 13 37 89 14 40 15 42 17 18 45 20 22 93 24 51 49 75 90 26 56 28 55 33 95 35 64 36 66 38 39 69 41 43 46 50 77 52 76 57 63 85 65 67 70 78 86 
61 48 82 62 84 9 30 72 73 1 5 21 92 83 94 25 54 2 10 32 29 59 31 88 89 3 15 42 4 18 45 6 7 22 93 96 49 75 8 26 56 53 80 55 11 12 33 60 95 13 36 66 14 39 69 16 17 43 19 20 46 23 24 50 77 74 90 76 27 28 57 81 34 35 63 85 37 38 67 40 41 70 44 47 51 52 78 91 58 64 65 86 68 71 79 87 
62 73 83 84 2 10 32 89 1 4 18 45 93 94 8 26 56 9 29 59 11 12 33 95 3 14 39 69 5 6 7 19 20 46 96 24 50 77 25 53 80 27 28 57 30 31 60 34 13 35 63 85 15 16 17 40 41 70 21 22 23 47 49 74 90 51 52 78 54 55 81 58 61 36 37 38 64 65 86 42 43 44 71 48 75 76 91 79 82 66 67 68 87 72 92 88 
63 74 18 37 64 85 86 29 51 75 90 91 39 6 19 45 46 66 38 68 65 87 95 53 11 30 59 60 77 52 79 76 92 96 16 40 69 70 21 7 23 20 47 73 67 88 13 35 27 54 80 81 32 12 34 31 61 84 78 93 24 49 42 17 44 41 71 89 22 48 1 4 36 56 28 58 55 82 94 33 62 2 9 50 43 72 3 14 5 57 83 8 25 10 15 26 
64 75 19 66 85 65 87 30 77 90 76 92 40 21 45 20 47 38 67 88 86 95 35 54 32 59 31 61 52 78 93 91 96 49 42 69 41 71 7 22 48 46 73 4 68 13 36 63 56 80 55 82 12 33 62 60 84 9 79 24 50 74 17 43 72 70 89 14 23 1 5 18 37 28 57 83 81 94 25 34 2 10 29 51 44 3 15 39 6 58 8 26 53 11 16 27 
65 76 20 67 86 87 35 31 78 91 92 49 41 22 46 47 4 68 88 36 95 63 64 55 33 60 61 9 79 93 50 96 74 75 43 70 71 14 23 48 5 73 18 19 13 37 66 85 57 81 82 25 34 62 10 84 29 30 24 51 77 90 44 72 15 89 39 40 1 6 21 45 38 58 83 26 94 53 54 2 11 32 59 52 3 16 42 69 7 8 27 56 80 12 17 28 
66 77 21 85 38 67 88 32 90 52 78 93 42 45 7 22 48 65 86 95 68 13 36 56 59 12 33 62 76 91 96 79 24 50 69 17 43 72 20 46 73 23 1 5 87 35 63 37 80 28 57 83 31 60 84 34 2 10 92 49 74 51 41 70 89 44 3 15 47 4 18 6 64 55 81 94 58 8 26 61 9 29 11 75 71 14 39 16 19 82 25 53 27 30 40 54 
67 78 22 86 68 88 36 33 91 79 93 50 43 46 23 48 5 87 95 63 13 37 66 57 60 34 62 10 92 96 74 24 51 77 70 44 72 15 47 73 18 1 6 21 35 64 85 38 81 58 83 26 61 84 29 2 11 32 49 75 90 52 71 89 39 3 16 42 4 19 45 7 65 82 94 53 8 27 56 9 30 59 12 76 14 40 69 17 20 25 54 80 28 31 41 55 
68 79 23 87 88 13 37 34 92 93 24 51 44 47 48 1 6 95 35 64 36 66 38 58 61 62 2 11 96 49 75 50 77 52 71 72 3 16 73 4 19 5 21 7 63 85 65 67 82 83 8 27 84 9 30 10 32 12 74 90 76 78 89 14 40 15 42 17 18 45 20 22 86 94 25 54 26 56 28 29 59 31 33 91 39 69 41 43 46 53 80 55 57 60 70 81 
