Program started
Opened all dims file
PDS(96,20,4,4) SmGrp(96,213): None in Tri: 46080
PDS(81,40,19,20) SmGrp(81,9): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,183): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,133): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,133): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,55): None in Tri: 46080
PDS(81,40,19,20) SmGrp(81,11): None in Tri: 32805
PDS(81,40,19,20) SmGrp(81,12): 1 2 3 4 5 6 8 9 12 14 16 17 18 19 20 21 23 31 32 35 36 39 40 42 47 48 50 51 54 56 58 60 62 63 64 66 67 69 76 79 .Tri: 27
PDS(96,20,4,4) SmGrp(96,141): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,63): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,65): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,220): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,77): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,17): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,191): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,4): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,165): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,27): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,113): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,184): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,45): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,171): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,191): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,57): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,4): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,137): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,180): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,10): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,50): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,109): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,123): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,150): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,139): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,110): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,94): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,138): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,224): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,165): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,217): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,218): None in Tri: 46080
PDS(81,40,19,20) SmGrp(81,6): None in Tri: 32805
PDS(96,19,2,4) SmGrp(96,7): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,37): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,158): None in Tri: 46080
PDS(100,18,8,2) SmGrp(100,7): None in Tri: 50000
PDS(96,19,2,4) SmGrp(96,178): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,179): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,184): None in Tri: 46080
PDS(96,19,2,4) SmGrp(96,151): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,214): None in Tri: 46080
PDS(96,20,4,4) SmGrp(96,134): None in Tri: 46080
PDS(88,27,6,9) SmGrp(88,4): None in Tri: 38720
