Program started
Opened all dims file
PDS(64,14,6,2) SmGrp(64,8): 4 6 8 21 23 26 38 41 43 46 50 56 59 61 .Tri: 195
PDS(64,14,6,2) SmGrp(64,9): 4 10 24 28 29 34 41 42 45 48 52 54 59 62 .Tri: 17
PDS(64,14,6,2) SmGrp(64,10): 1 3 4 5 6 9 10 14 18 19 29 33 37 54 .Tri: 14
PDS(64,14,6,2) SmGrp(64,14): 5 6 7 12 14 16 17 24 34 37 38 40 42 57 .Tri: 38
PDS(64,14,6,2) SmGrp(64,116): 4 5 6 8 15 21 26 32 36 44 52 53 58 62 .Tri: 680
PDS(50,21,8,9) SmGrp(50,5): None in Tri: 12500
PDS(64,14,6,2) SmGrp(64,177): 2 4 6 9 13 15 16 20 21 27 28 36 51 56 .Tri: 1893
PDS(64,14,6,2) SmGrp(64,13): 4 5 8 15 16 21 26 37 38 41 50 53 61 62 .Tri: 76
PDS(64,14,6,2) SmGrp(64,117): 2 5 6 16 20 21 22 26 28 36 38 39 56 58 .Tri: 372
PDS(64,14,6,2) SmGrp(64,118): 5 6 7 8 11 18 19 25 27 31 40 41 45 60 .Tri: 48
PDS(64,14,6,2) SmGrp(64,12): 5 12 19 20 21 22 23 39 43 45 52 53 54 56 .Tri: 1128
PDS(64,14,6,2) SmGrp(64,155): 4 6 15 19 24 31 36 41 42 43 45 51 58 59 .Tri: 260
PDS(64,14,6,2) SmGrp(64,42): 1 15 19 29 30 31 34 35 41 44 46 47 62 63 .Tri: 58
PDS(64,14,6,2) SmGrp(64,192): 2 3 6 12 15 18 21 23 34 38 39 43 44 60 .Tri: 2
PDS(50,21,8,9) SmGrp(50,2): None in Tri: 12500
PDS(64,14,6,2) SmGrp(64,193): 1 4 5 6 9 11 12 15 18 20 30 33 37 40 .Tri: 40
PDS(64,14,6,2) SmGrp(64,119): 4 5 6 18 20 22 26 30 40 42 44 48 51 58 .Tri: 265
PDS(64,14,6,2) SmGrp(64,15): 5 6 13 18 19 23 24 35 40 41 46 47 53 62 .Tri: 907
PDS(64,14,6,2) SmGrp(64,16): 3 4 5 6 7 15 17 20 23 25 34 37 46 54 .Tri: 513
PDS(64,14,6,2) SmGrp(64,210): 5 9 11 20 21 24 25 29 31 41 48 49 52 53 .Tri: 45
PDS(64,14,6,2) SmGrp(64,163): 5 6 9 11 20 21 24 35 37 42 57 58 60 63 .Tri: 2892
PDS(64,14,6,2) SmGrp(64,161): 4 5 6 15 21 22 24 31 36 43 44 45 51 59 .Tri: 1664
