Program started
Opened HIGHER dims file
PDS(160,54,18,18) SmGrp(160,41): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,177): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,105): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,103): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,82): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,188): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,181): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,182): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,87): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,180): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,97): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,187): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,81): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,102): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,40): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,30): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,172): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,89): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,108): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,84): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,9): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,8): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,90): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,91): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,92): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,173): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,179): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,42): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,175): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,174): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,176): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,178): None in Tri: 51200
PDS(160,54,18,18) SmGrp(160,43): None in Tri: 51200
